label	text_a
1	非常有趣，爱上
1	老师讲的很到位我听得很认真
1	讲课清晰，易懂
1	深入浅出，很棒啊
1	真的是零基础语言学习，老师讲的很仔细，有自己的一套想法。
1	很棒的，学习很全面，有趣味
1	嵩老师讲得非常好！
1	不错，准备学习一下
1	内容新颖有吸引力，老师讲的非常好
1	感觉非常棒，点个赞
1	让我懂得了计算机的基本知识，很实用的一门课
1	课程时间安排合理，内容也容易接受，很贴合生活
1	对于初学者，难度适宜，能够很好的吸收学习
1	不忘初心，牢记使命
1	内容合理，讲课生动有趣。
1	课程非常好，感谢老师！
1	老师讲解的内容简单易懂，没有基础的学起来也比较轻松。
1	真启蒙老师，真心感谢，人生苦短，我用
1	学习了的基础语法知识和一些库的使用，受益颇多，感谢！
1	！牛逼，真的好厉害
1	特别好，哈哈
1	知识多，非常实用
1	非常喜欢这门课程，老师很用心，知识点密集，学起来很过瘾
1	老师讲的很好通俗易懂！
1	老师讲课讲的特别细致入微，还比较的有趣
1	讲得好，有深度
1	这个课程超级有趣！
1	收获慢慢在积累
1	很好的课程，讲解得非常细致
1	平易近人很好呢
1	好课，值得分享
1	老师讲得特别好，简单易懂好上手~
1	让我初步的认识到语言的魅力
1	让我有了学习程序语言的信心
1	简单易学，讲的很清楚
1	老师讲得非常清楚易懂，生动的例子和讲解都十分厉害
1	很有意思的的课程，老师的讲授让我受益匪浅
1	老师的课程讲的非常细，条理清晰，从入门到基础应用再到最后的生态，为我展示了独特的应用场景。
1	老师讲得挺好的，可以加入多个方法的/对比
1	学习效果好棒
1	对于计算机的使用很有帮助
1	老师的课程燃起了我对新知识的激情，非常棒！
1	深入浅出，十分受用
1	清楚明了，适合初学
1	很棒的入门教程
1	很好，了解了很多计算机方面的知识。
1	小白一个，收获很大，自己看书看不懂，听了马老师的课就明白了
1	课程讲解非常通俗易懂，编写代码的思路非常清晰，希望老师可以进一步为我们授课
1	根据实例来说，很容易理解，老师讲的很好
1	清晰流畅，配套的练习也很受用，五星好课
1	挺好的，有个老师带着你学习，可以提高学习效率
1	还可以，不错！
1	纯粹的小白，虽然不是太懂，还是先过一遍，然后再从头听！老师讲的棒棒的！
1	讲的细腻生动
1	课程对我很有帮助
1	快速入门，很好
1	很细致，对理解课堂内容也很有帮助
1	妙啊，学到不少
1	很好，讲课很清晰。
1	挺好的，老师讲的比较详细
1	由浅入深、通俗易懂
1	老师讲的很细致，建议可以拓展的更大一些。
1	课程难点浅讲，容易听懂，对课程有兴趣，练习题在原有的基础上有变化，举一反三，学习实际应用
1	老师的课很不错
1	讲的真好。我是小白。显得吃力。
1	课程内容特别棒
1	嵩老师太帅了
1	非常喜欢这样的学习方式
1	讲的非常清晰，对我帮助很大
1	哇，老师讲的好好，通俗易懂，课件练习都不错
1	人生苦短，我学。这句话深深地打动了我。
1	付出终会有收获！继续学习更多的课程！
1	非常好用，奥利给
1	老师讲得不错学到了很多
1	讲的很详细配套课件也很好
1	真的对计算机知识很有用
1	给我了很多启发，让我了解了简单的程序。
1	讲得很仔细，讲得也很容易搞懂。非常适合我
1	老师讲的深入浅出，利用的都是最新的资料，条理非常明晰，很容易看懂学会
1	嵩老师特别棒，讲课有亲和力，面带微笑，和人一起学，这节程序设计值得认真学习！
1	简单易懂，能写一个源码分析的代码会更好
1	很赞通俗易懂适合入门！
1	非常好的讲解。感谢平台!感谢老师！
1	讲解的比较细致，但又不罗嗦，很好，下面继续学习进阶课，感谢老师！
1	条理清晰，实例以及对实例的讲解对加深印象很有帮助。
1	老师的课程由浅入深讲得非常耐心仔细，让人受益匪浅
1	思路很清楚。
1	很棒，非常感谢这个平台和老师们。
1	数据结构很棒！
1	讲解深入浅出，条理明晰
1	讲的很细致哇，一些关键点都讲到了。不向别的教程显得知识碎片化。
1	课程内容组织有序，安排合理
1	五星五星五星五星五星
1	都是非常好的
1	挺好的，很系统全面，尤其是每个单元的实例部分，可以保持学习的兴趣
1	这一次看到这么好的视频讲解超!
1	理论知识很强
1	非常好，能学到很多知识。
1	还不错，我学到了很多东西
1	老师教的很好，非常清晰，自己学完多练练就能理解
1	老师讲的很清楚，易于理解，直指重点
1	学到了很多感谢老师
1	不错哦，我觉得学到了知识
1	作为一名大学生学习感觉受益匪浅，很棒的一门教程
1	挺棒的，受益匪浅！
1	非常不错，直观，生动
1	我是完全编程零基础开始学习，虽然过程有点艰难，但是每天都能进步一点点。
1	老师讲解通俗易懂，逻辑清晰，适合初学者，很赞！
1	感受到创新创业的科技感
1	我觉得特别好
1	涨知识了学无止境
1	逻辑清楚，节奏合理，比较适合初学者
1	超级好，希望多些精品课
1	很有收获，感谢老师
1	挺好的，能学到一些知识
1	学到了很多，老师讲解的很专业
1	感悟很大，可以学到好东西
1	讲的基础而且系统
1	很好很详细很生动
1	十分很好，厉害
1	很不错讲代码很细课程通俗易懂
1	非常非常好好
1	特别棒。了解了人工智能的流程
1	作为人工智能的入门教程，很不错
1	授课详实，风趣幽默
1	讲解非常细致，小测验对于帮助理解知识点非常有用！
1	老师讲的内容很多，也通俗易懂。
1	非常棒的教学
1	很有趣，也很易懂的课程，支持。
1	真的好，老师讲的仔细，答疑也快，很适合新手
1	有很多收获，学习到了好的知识
1	易懂比那些收费的强
1	挺好的适合大学生
1	很不错，加油加油。
1	喜欢嵩老师的课。适合新手，大有收获！
1	非常好，收获大
1	翁老师是非常好的老师！
1	课程资源挺不错的，希望可以推出高阶应用教程，比如在科学计算中的应用等。
1	嵩天老师非常棒！
1	老师的讲解很细致，深入浅出
1	全面又通俗易懂
1	课程学到了很多知识，
1	感觉特别系统，老师教的也特别好。
1	讲解详细，声音清楚，很有用的一门课程！
1	太棒了，这是我听过最好的
1	翁恺老师咬字清晰，讲课到位
1	讲解清晰，内容充实
1	老师讲的非常好，语速适中，内容清晰，具有深厚的专业功底，课程内容丰富全面，很值得学习。
1	挺好的，比较容易接受
1	感觉从浅入深，收获很大。
1	带来了不一样的体验
1	挺不错，学习到了好多以前从来没有接触到的东西，对自己的提升有很大的帮助。
1	课程详细清楚，提供的资料全面
1	还是很不错的逻辑清晰
1	陈越老师真的讲的不错哟
1	挺好的，收获颇多
1	内容很不错，值得学习
1	非常好，学好语言就靠这了
1	课程非常不错，很值得学习
1	讲的超级好，太棒了
1	老师讲的很到位，而且也很实用
1	讲解得很细致
1	讲的很有条理性，课后习题很不错
1	喜欢老师的讲课，清晰透明，一说就懂，我还需要更多的时间和耐心详细学习。
1	感觉非常好喜欢嵩老师的讲解
1	老师讲授条理清晰，案例也很有用
1	学到挺多知识
1	非常喜欢，我大学专业是医学类的，可是听懂这门课完全没有问题！老师讲得很好！
1	这门课内容编排很好，老师讲授也很详细，真的很不错。
1	以多个例子介绍，带入感很强
1	学到了不少东西呢
1	不错很喜欢老师的风格！
1	我觉得挺不错了。详细清楚，系统，我还得再看一遍。
1	坚持就是胜利，就一定有收获。虽然这并不简单。
1	课程设置合理，有讲义复习，同样适合上班族学习。
1	可以，学到了很多
1	对理论学习的应用很用帮助能够利用代码搭建基本的网络
1	收获颇丰，感谢，希望多出一些类似的课程
1	每次课程都十分有料，并且时长和信息量都比较合适，不会感到枯燥或难以接受！老师们辛苦了！
1	路线清晰，实用性强
1	就很牛皮，还挺猛的
1	讲课生动形象，娓娓道来，很好
1	很好！收获颇丰
1	特别棒！希望能坚持学完！
1	上完这门课最大的感觉：爽
1	讲的十分清楚
1	每一节做一个视频，这样就比较方便观看。
1	简洁明了，系统实用
1	老师讲的还是很清晰的，内容也比较丰富，循序渐进，渐入佳境。
1	通俗易懂。为我打开了一个新的世界
1	收获了好多知识
1	讲的非常棒。
1	教课分层次，由浅入深，充分考虑零基础学习者的学习需求，风趣幽默，喜欢！
1	翁恺老师讲课很有趣，讲解的知识也很细，很喜欢翁恺老师。
1	真的很不错喔
1	中国大学使我学到了计算机的许多知识，增加了学习的乐趣，挺好，不错
1	我觉得非常有用
1	入门，你值得拥有~已然成为嵩天老师的小迷妹~走心的课堂！好评！
1	很好！老师认真负责
1	老师讲解的比较详细。入门级好课程。
1	小白自学，感觉语言很简洁，我会一直坚持下去。
1	能免费学到其他专业的知识真的太好了，希望课程能够多多增加，希望能越办越好
1	很不错，老师讲得很专业，循序渐进，收获不小。
1	很好的课程，受益匪浅。
1	讲解详细，理论结合实践很棒。
1	老师讲解清晰，容易理解。
1	老师讲解较清楚，不错
1	嵩天老师的课程一如既往的好，通俗易懂，适合初学者，支持！
1	很好，很优秀。
1	非常超级奈斯
1	课程有趣探索趣味强
1	课程安排循序渐进，容易上手，是门好课
1	老师讲的非常好，看着并不觉得枯燥，又容易听懂
1	讲的很透彻，通俗易懂。
